urlid,alchemy_category,alchemy_category_score,avglinksize,commonlinkratio_1,commonlinkratio_2,commonlinkratio_3,commonlinkratio_4,compression_ratio,embed_ratio,frameTagRatio,hasDomainLink,html_ratio,image_ratio,lengthyLinkDomain,linkwordscore,news_front_page,non_markup_alphanum_characters,numberOfLinks,numwords_in_url,parametrizedLinkRatio,spelling_errors_ratio,label,Type,subdomain,webname,domain,countPath,website_type,website_type2,wordInHLT,wordError,lld_nol_prob,linkscorepredprob
2293,2,0.816604,2.506527415,0.6377551020000001,0.293367347,0.091836735,0.048469387999999995,0.592321755,0.0,0.056497175,0,0.223003543,0.511363636,1,53,0.0,4401,392,0,0.16071428599999998,0.073684211,0.0,training,519,2977,12,1,0,0,2332.53,324.284212611,0.8649635770771975,0.16122753995947423
3651,11,0.89156,4.9861111110000005,0.64,0.42666666700000005,0.32,0.29333333300000003,0.521064302,0.004065041,0.162689805,0,0.24691196,0.06097561,1,40,0.0,2701,75,8,0.18666666699999998,0.115384615,0.0,training,519,2294,12,4,453,714,1080.4,311.65384511499997,0.16643440755425873,0.44845958507095707
1917,6,0.872323,3.056910569,0.595588235,0.22794117600000002,0.044117647,0.014705882,0.573109244,0.0,0.074576271,0,0.23628094100000002,0.08411215,1,64,0.0,1062,136,9,0.16911764699999998,0.18032786899999997,1.0,training,519,1870,12,2,1591,1209,679.68,191.50819687799998,0.8512179909918228,0.16207666550651398
1063,0,0.6008133639871819,0.0,0.0,0.0,0.0,0.0,21.0,-1.0,0.057692308,0,0.328343661,-1.0,0,0,0.0,4091,5,11,0.0,0.083333333,1.0,training,519,3560,12,4,1692,2147,0.0,340.916665303,0.11920292202211755,0.16451646289656316
2110,8,0.559991,2.299492386,0.5474137929999999,0.20689655199999998,0.056034482999999996,0.017241378999999998,0.473964868,0.0,0.078431373,1,0.20537862199999998,0.036423841,1,37,0.0,3610,232,11,0.21551724100000003,0.080204778,0.0,training,519,2739,12,4,617,2200,1335.7,289.53924858,0.8543619836242367,0.40960672324473796
5318,8,0.548963,0.990430622,0.522522523,0.10810810800000001,0.009009009,0.0,0.414154653,0.0,0.054992764000000006,0,0.18993288600000002,0.075630252,0,54,0.0,883,222,4,0.013513513999999999,0.059602649,0.0,training,417,3264,12,4,453,2109,476.82,52.629139067,0.8490632396471,0.1485184477941078
9842,8,0.5981489999999999,0.929824561,0.068965517,0.0,0.0,0.0,0.478354978,0.0,0.157575758,0,0.31000885699999997,0.276315789,0,50,0.0,268,58,2,0.137931034,0.107142857,0.0,training,0,3515,12,3,1356,1691,134.0,28.714285676,0.16798161486607552,0.1599199873438164
3946,1,0.7729199999999999,2.083333333,0.42105263200000004,0.178947368,0.042105263,0.0,0.462994836,0.0,0.099778271,0,0.232048045,0.275862069,0,49,0.0,852,95,8,0.30526315800000003,0.139737991,0.0,training,519,1549,51,6,1014,1376,417.48,119.056768332,0.5,0.15685486172036478
334,8,0.28788400000000003,3.164383562,0.5862068970000001,0.275862069,0.172413793,0.149425287,0.520414776,0.0,0.035864979,0,0.265881624,0.091549296,1,23,0.0,3509,87,2,0.402298851,0.09057971,1.0,training,0,3343,37,5,453,714,807.07,317.84420238999996,0.5237915435013812,0.5522560354634618
271,6,0.585389,2.826771654,0.6690647479999999,0.237410072,0.06474820099999999,0.021582734,0.56279509,0.0,0.07345576,0,0.24703529100000002,0.053254438,1,55,0.0,1511,139,9,0.165467626,0.065217391,1.0,training,519,1870,12,2,573,1184,831.05,98.543477801,0.8559212293644084,0.16361417605920497
6984,11,0.9411290000000001,4.103626943,0.515555556,0.297777778,0.18666666699999998,0.10666666699999999,0.412429379,0.0,0.064489112,0,0.21292781100000002,0.693181818,1,53,0.0,3243,225,6,0.208888889,0.043859649,0.0,training,519,3748,12,5,453,714,1718.79,142.236841707,0.853798059619033,0.16122753995947423
8979,8,0.43759899999999996,2.0333333330000003,0.516129032,0.17204301100000002,0.043010753,0.0,0.9098360659999999,0.0,0.105577689,0,0.229413592,0.8636363640000001,1,31,0.0,1927,93,5,0.043010753,0.078947368,1.0,training,519,341,51,3,1043,1926,597.37,152.131578136,0.5941027850878001,0.5782977732960317
1502,6,0.644872,1.333333333,0.0,0.0,0.0,0.0,0.468309859,0.0,0.041262136,0,0.168818229,0.062962963,0,3,0.0,1766,11,2,0.090909091,0.084175084,0.0,training,519,2884,12,1,1724,0,52.98,148.653198344,0.11920292202211755,0.5943608058072882
8945,0,0.6008133639871819,4.327655311,0.978757515,0.895791583,0.6691382770000001,0.422044088,0.248915158,0.000236,0.002975637,0,0.114361006,0.008274232,1,85,0.0,20757,4990,6,0.992785571,0.157953592,1.0,training,519,2356,27,5,453,714,17643.45,3278.642709144,0.8807970779778823,0.15093676035290013
2839,0,0.6008133639871819,1.7864077669999998,0.552631579,0.149122807,0.052631579000000005,0.01754386,21.0,-1.0,0.081314879,0,0.254886052,-1.0,1,20,0.0,3760,114,5,0.043859649,0.0,1.0,training,55,441,12,6,1009,1564,752.0,0.0,0.8470357233020893,0.8350835810624154
1499,11,0.898192,4.8,0.6034482760000001,0.379310345,0.24137931,0.155172414,0.480519481,0.010638298000000001,0.173210162,0,0.259285272,0.08510638300000001,1,45,0.0,1802,58,9,0.155172414,0.055,0.0,training,519,2294,12,4,453,714,810.9,99.11,0.16798161486607552,0.16361417605920497
7298,11,0.348995,3.355263158,0.48837209299999995,0.29069767399999996,0.081395349,0.023255814,0.573825503,0.0,0.007968127,0,0.34805903299999996,0.004608295,1,98,1.0,21,86,0,0.0,0.128440367,0.0,training,0,484,12,1,0,0,20.58,2.697247707,0.5318716211394506,0.15886910488091516
3294,2,0.85,3.321428571,0.505747126,0.298850575,0.18390804600000002,0.137931034,0.421385706,0.0,0.00496963,0,0.25623119699999997,0.004006869000000001,1,2,0.0,67406,87,7,0.09195402300000001,0.09729729699999999,0.0,training,519,2430,37,6,613,833,1348.12,6558.421601581999,0.5237915435013812,0.4694259472076499
2949,0,0.6008133639871819,3.417910448,0.541176471,0.270588235,0.176470588,0.117647059,0.644171779,0.0,0.075471698,0,0.245831092,0.166666667,1,68,0.0,536,85,6,0.035294118,0.159574468,1.0,training,219,1710,12,3,2220,2102,364.48,85.531914848,0.5106366928667768,0.15886910488091516
4156,0,0.6008133639871819,1.154761905,0.5044247789999999,0.427728614,0.02359882,0.0,0.40104849299999995,0.0,0.032291667,0,0.144492064,1.18487395,0,80,0.0,490,339,4,0.005899705,0.033112583,1.0,training,417,3264,12,4,453,2109,392.0,16.22516567,0.5,0.15547259715631853
1391,8,0.28915799999999997,1.985815603,0.35664335700000005,0.13986014,0.055944056,0.027972028,0.571005917,0.0,0.027027027000000002,0,0.22871369600000002,0.23076923100000002,1,11,0.0,9935,143,2,0.027972028,0.198412698,1.0,training,519,3407,12,1,1199,0,1092.85,1971.23015463,0.8420378326282985,0.8387300892468948
2152,8,0.670358,1.571428571,0.45132743399999997,0.168141593,0.10619469,0.053097345,0.4375,0.0,0.05521472400000001,0,0.257944809,0.087824351,1,12,0.0,5500,113,4,0.159292035,0.086065574,1.0,training,519,3046,12,2,2194,0,660.0,473.36065700000006,0.8581489350995123,0.5976012530999557
8004,0,0.6008133639871819,1.292682927,0.421965318,0.306358382,0.011560694,0.0,0.527264325,0.0,0.03820598,0,0.233130593,0.11027568900000001,0,28,0.0,2531,173,3,0.20231213899999997,0.095115681,0.0,training,519,609,12,3,453,714,708.68,240.73778861099998,0.8561634580120598,0.5348272321212596
2807,2,0.899731,2.166666667,0.447513812,0.20718232,0.074585635,0.03038674,0.8280254779999999,0.0,0.027660854,0,0.191917306,3.625,1,35,0.0,4809,362,6,0.47237569100000004,0.08510638300000001,1.0,training,0,143,12,3,425,583,1683.15,409.276595847,0.8581489350995123,0.514558990055596
497,8,0.783732,2.544041451,0.583333333,0.324074074,0.12962963,0.037037037,0.514041514,0.0,0.08256880700000001,0,0.20444278600000002,0.270072993,1,44,0.0,3225,216,16,0.189814815,0.039772727,0.0,training,519,1097,12,8,529,1468,1419.0,128.267044575,0.8529057809073356,0.16428750630761857
3201,0,0.6008133639871819,1.888888889,0.59375,0.171875,0.0625,0.046875,0.45,0.0,0.08480565400000001,0,0.25942498399999997,0.005976096,1,18,1.0,2419,64,0,0.0,0.08924949300000001,0.0,training,0,2470,12,1,0,0,435.42,215.89452356700002,0.8361188954319113,0.8331982473445818
6704,0,0.6008133639871819,2.618902439,0.707317073,0.33604336,0.119241192,0.051490515,0.478082192,0.0,0.046441948,0,0.22051010100000001,0.054187192,1,28,0.0,10422,369,6,0.067750678,0.083538084,1.0,training,52,424,12,5,453,714,2918.16,870.6339114479999,0.8807970779778823,0.5348272321212596
1650,1,0.5193369999999999,1.5494505490000001,0.417910448,0.11442786099999999,0.004975124,0.004975124,0.569044006,0.0,0.040764331,0,0.256809688,0.18320610699999998,0,37,0.0,2382,201,1,0.014925373,0.092307692,0.0,training,519,691,12,1,2138,0,881.34,219.87692234399998,0.5782977732960317,0.40960672324473796
3561,0,0.6008133639871819,2.8819444439999997,0.54822335,0.23857868,0.106598985,0.040609137000000003,0.28571428600000004,0.0,0.05669145,0,0.188223998,0.17582417600000003,1,52,0.0,1987,197,7,0.076142132,0.0,1.0,training,519,2728,42,3,1362,2222,1033.24,0.0,0.8581489350995123,0.16745486492033174
10154,6,0.975621,2.188311688,0.569060773,0.149171271,0.055248619000000006,0.027624309,0.430342385,0.0,0.035058431,0,0.24381082199999998,0.01849711,1,25,0.0,4885,181,9,0.23756906100000003,0.087616822,1.0,training,519,2550,42,7,617,1439,1221.25,428.00817546999997,0.8695007508395665,0.8322284513290674
7461,10,0.849952,9.8,0.292307692,0.092307692,0.015384615,0.0,0.439756882,0.0,0.058227848,0,0.328052016,0.012345678999999998,0,6,0.0,7456,65,1,0.046153846,0.089824561,0.0,training,519,3074,51,1,637,0,447.36,669.7319268159999,0.16498135015153895,0.5485194052642788
4064,8,0.487492,2.086956522,0.498194946,0.202166065,0.028880866,0.02166065,0.510095238,0.00204918,0.008849558,0,0.233007607,0.100409836,1,22,1.0,8366,277,0,0.523465704,0.12472647699999999,1.0,training,0,554,12,1,0,0,1840.52,1043.4617065819998,0.8660721116759263,0.5138853177460048
8138,0,0.6008133639871819,1.76969697,0.381818182,0.181818182,0.048484848,0.006060606,0.596837945,0.0,0.07266982599999999,0,0.20374029899999999,0.413533835,1,54,0.0,1200,165,5,0.139393939,0.06122449,0.0,training,519,2959,12,2,1194,1711,648.0,73.469388,0.855757089478164,0.1485184477941078
383,6,0.8023140000000001,1.783333333,0.214285714,0.071428571,0.014285714,0.0,0.44547134899999996,0.0,0.070116861,1,0.258761956,0.314814815,1,5,0.0,9309,70,8,0.11428571400000001,0.06185567,1.0,training,519,1123,12,2,1188,1079,465.45,575.81443203,0.5709465968834663,0.5810956417872526
1754,0,0.6008133639871819,1.158208955,0.50591716,0.42899408299999997,0.023668638999999998,0.0,0.42362002600000004,0.0,0.029319372000000003,0,0.137165504,1.112,0,79,0.0,494,338,4,0.00591716,0.025,1.0,training,417,3264,12,4,453,2109,390.26,12.350000000000001,0.12592276483513232,0.8320183851339245
5053,11,0.5049239999999999,2.4439834019999997,0.365517241,0.2,0.072413793,0.055172414,0.464774951,0.0,0.022196262,0,0.149940034,0.9189189190000001,1,76,0.0,1078,290,2,0.117241379,0.081081081,0.0,training,0,171,37,2,651,0,819.28,87.40540531799999,0.8709169817721657,0.16643440755425873
4881,0,0.6008133639871819,2.133333333,0.655737705,0.213114754,0.196721311,0.196721311,0.491408935,0.0,0.078947368,0,0.271765078,0.013355593,1,16,1.0,3457,61,0,0.049180327999999995,0.09433962300000001,0.0,training,0,3813,12,1,0,0,553.12,326.132076711,0.8366257604866205,0.834962228306857
5483,0,0.6008133639871819,2.328502415,0.427777778,0.20555555600000003,0.061111110999999996,0.019444443999999998,0.989795918,0.0,0.026812918999999998,0,0.187438789,5.25,0,33,0.0,4791,360,5,0.46666666700000003,0.131578947,1.0,training,0,143,12,3,425,580,1581.03,630.3947350770001,0.8686287904691933,0.5
4089,11,0.7295590000000001,4.588477366,0.445255474,0.28467153300000003,0.21167883199999998,0.167883212,0.358770718,0.0,0.041106719,0,0.262156988,0.014787431,1,30,0.0,12083,274,14,0.116788321,0.111320755,0.0,training,519,844,51,3,1518,895,3624.9,1345.0886826649999,0.8807970779778823,0.5130405202430282
4781,0,0.6008133639871819,2.85483871,0.428571429,0.103896104,0.038961038999999996,0.0,0.46393147,0.0,0.09473684199999999,0,0.290880017,0.03379224,1,16,1.0,4191,77,6,0.324675325,0.13671875,0.0,training,223,1732,12,3,0,1484,670.56,572.98828125,0.8438951025545426,0.834962228306857
6657,2,0.530241,2.166666667,0.166666667,0.0,0.0,0.0,0.461511547,0.0,0.125827815,0,0.35780892,0.009146341,0,4,0.0,4623,18,8,0.0,0.11261731,0.0,training,519,340,13,5,793,2189,184.92,520.62982413,0.14185106490048777,0.8338562360433432
4763,8,0.604216,1.236947791,0.686131387,0.03649635,0.00729927,0.003649635,0.519774011,0.0,0.035453597,0,0.179364373,0.38144329899999996,1,37,0.0,2493,274,5,0.01459854,0.111111111,1.0,training,519,4141,8,3,1043,1926,922.41,276.999999723,0.8807970779778823,0.40960672324473796
5354,6,0.895862,3.073684211,0.65625,0.302083333,0.09375,0.041666667000000004,0.56036036,0.0,0.018083183,0,0.22628767,0.202380952,1,44,0.0,2131,96,0,0.0,0.021276596000000002,0.0,training,519,3184,42,1,0,0,937.64,45.34042607600001,0.5348272321212596,0.16428750630761857
8579,8,0.753521,1.71641791,0.522058824,0.316176471,0.044117647,0.029411765,0.424012158,0.0,0.057034220999999996,0,0.231050263,0.030405405,0,21,0.0,3920,136,4,0.051470588,0.056737589000000005,1.0,training,0,2037,12,3,453,714,823.2,222.41134888000002,0.8512179909918228,0.5061725259125543
3880,6,0.5489390000000001,2.5,0.684210526,0.255639098,0.037593985,0.015037594,0.466779279,0.0,0.07311828,0,0.267735644,0.011725293000000001,1,34,0.0,2897,133,6,0.804511278,0.080536913,1.0,training,519,3868,12,7,1518,1439,984.98,233.31543696100002,0.8432917027005509,0.44575884702110696
7053,0,0.6008133639871819,2.278481013,0.552419355,0.266129032,0.052419355,0.02016129,21.0,-1.0,0.044101432999999995,0,0.265426121,-1.0,1,13,0.0,17131,248,13,0.366935484,0.235294118,0.0,training,519,2741,12,4,453,714,2227.03,4030.823535458,0.8681403601684844,0.837479672924746
6006,11,0.34619,3.660606061,0.591397849,0.37096774200000004,0.279569892,0.225806452,0.48865523,0.0,0.03030303,0,0.27479083600000004,0.038580247000000005,1,24,0.0,8191,186,6,0.064516129,0.082148499,1.0,training,519,2215,12,5,453,714,1965.84,672.878355309,0.8599427819341184,0.5536389523657655
8197,5,0.8269920000000001,0.22292993600000002,0.103792415,0.063872255,0.003992016,0.0,0.473928158,0.0,0.009281876,0,0.17342750899999998,0.008684864,0,2,0.0,28276,501,6,0.003992016,0.08291457299999999,0.0,training,519,386,12,4,1922,958,565.52,2344.492466148,0.5,0.4694259472076499
9259,4,0.751641,4.732793522,0.580152672,0.41221374,0.29770992399999996,0.229007634,0.845588235,0.055555556,0.040860215,0,0.21120799,1.111111111,1,86,1.0,1113,262,0,0.18320610699999998,0.076923077,0.0,training,519,572,12,1,0,0,957.18,85.61538470100001,0.8660721116759263,0.4667159617488687
1656,2,0.813196,2.128571429,0.47619047600000003,0.18095238100000002,0.047619048,0.023809524,0.52530541,0.0,0.013615733999999999,0,0.17418688699999998,0.611111111,1,59,1.0,1029,210,0,0.523809524,0.065217391,1.0,training,519,2,12,1,0,0,607.11,67.108695339,0.8676111264579346,0.4255574831883411
6410,11,0.330629,1.661016949,0.243697479,0.08403361300000001,0.033613445,0.033613445,0.460307499,0.0,0.007462687,0,0.271262751,0.051482059000000004,1,6,0.0,14182,119,2,0.025210084,0.072368421,1.0,training,280,2171,12,2,1713,0,850.92,1026.328946622,0.8504449636679104,0.5485194052642788
10530,1,0.437275,0.8979591840000001,0.166666667,0.075757576,0.050505050999999995,0.03030303,0.41704718399999996,0.0,0.057491289,0,0.144682597,1.223214286,1,64,0.0,562,198,4,0.035353535,0.151260504,0.0,training,519,329,12,2,566,0,359.68,85.008403248,0.8757060284360345,0.16207666550651398
8262,1,0.85,2.6623376619999997,0.5870967739999999,0.258064516,0.161290323,0.122580645,0.446401458,0.0,0.049032257999999995,0,0.244977665,0.031100477999999997,1,16,0.0,9671,155,8,0.18064516100000003,0.131979695,1.0,training,0,2423,12,3,613,210,1547.36,1276.375630345,0.8691673912203951,0.834962228306857
5526,2,0.673412,1.91521197,0.5665859560000001,0.19128329300000002,0.065375303,0.031476998,0.423876652,0.0,0.040752351,0,0.22151464399999998,0.018788163,1,24,0.0,10403,413,13,0.072639225,0.07778865,1.0,training,519,1787,51,4,1343,2086,2496.72,809.2353259500001,0.8621583430350643,0.5536389523657655
1033,0,0.6008133639871819,1.127516779,0.636363636,0.048484848,0.0,0.0,0.534351145,0.0,0.047830923,0,0.30860043,0.36842105299999994,0,15,0.0,4372,165,8,0.096969697,0.078431373,1.0,training,519,701,12,4,745,1419,655.8,342.901962756,0.855757089478164,0.8413942872648525
7822,0,0.6008133639871819,2.334975369,0.638132296,0.38910505799999995,0.19844358,0.08560311300000001,0.542857143,0.0074074069999999995,0.027705628,0,0.19327272,0.46666666700000003,1,35,0.0,3824,257,3,0.26848249,0.107913669,1.0,training,519,73,12,3,453,714,1338.4,412.661870256,0.8807970779778823,0.514558990055596
10119,0,0.6008133639871819,3.731182796,0.5106382979999999,0.244680851,0.042553191,0.021276596000000002,0.45695364200000005,0.0,0.09057301300000001,0,0.277868363,0.43181818200000005,1,72,1.0,915,94,0,0.531914894,0.007092199,0.0,training,519,2498,51,1,0,0,658.8,6.489362085000001,0.5365202132337255,0.16361417605920497
10207,4,0.344041,2.053763441,0.7715736040000001,0.38578680200000004,0.329949239,0.30964467,0.50287687,0.0,0.038765823,0,0.17601314,0.271084337,1,14,0.0,10513,197,4,0.329949239,0.08,1.0,training,519,3608,37,3,453,714,1471.82,841.04,0.8581489350995123,0.5816791608108998
8796,11,0.584806,2.514851485,0.5,0.253968254,0.14285714300000002,0.063492063,0.433668801,0.0,0.024596464,0,0.228811123,0.478494624,1,7,0.0,17082,126,7,0.047619048,0.09950248800000001,0.0,training,0,429,12,2,528,70,1195.74,1699.7015000160002,0.837923334493486,0.8447334151903693
9297,0,0.6008133639871819,2.336206897,0.526315789,0.21052631600000002,0.09022556400000001,0.037593985,0.545300593,0.0,0.046511628,0,0.208496341,0.631313131,1,18,0.0,5472,133,7,0.32330827100000004,0.048543689,1.0,training,519,2698,12,4,1750,1923,984.96,265.631066208,0.8432917027005509,0.8331982473445818
3692,4,0.876315,3.81420765,0.58974359,0.26153846199999997,0.179487179,0.10769230800000001,0.45285597200000005,0.0,0.029478458,0,0.18617634,0.059485530999999994,1,45,0.0,4370,195,9,0.11282051300000001,0.10618066599999999,0.0,training,519,156,42,3,1948,147,1966.5,464.00951041999997,0.8678811564361295,0.16361417605920497
6928,0,0.6008133639871819,3.2653061219999997,0.636363636,0.40404040399999996,0.262626263,0.12121212099999999,0.46895565100000003,0.0,0.043478261,0,0.234063561,0.09472049699999999,1,14,0.0,8663,99,7,0.050505050999999995,0.093097913,0.0,training,519,689,37,3,583,873,1212.82,806.507220319,0.5574376329113074,0.5816791608108998
4783,6,0.991382,1.7222222219999999,0.25233644899999996,0.046728972,0.009345794000000001,0.0,0.62283737,0.0,0.052873563,0,0.263929136,0.221052632,0,49,0.0,879,107,12,0.224299065,0.068376068,1.0,training,519,1595,12,5,1876,1215,430.71,60.102563771999996,0.5098026653320405,0.15685486172036478
2989,10,0.747563,2.872881356,0.591666667,0.26666666699999997,0.133333333,0.075,0.0,-1.0,0.065957447,0,0.265870884,-1.0,1,30,0.0,3868,120,7,0.083333333,0.153846154,1.0,training,0,2454,12,3,1768,1089,1160.4,595.076923672,0.5687917143928852,0.5130405202430282
4981,8,0.625311,1.852272727,0.33663366299999997,0.217821782,0.158415842,0.128712871,0.414051427,0.0,0.053359684000000004,0,0.252102467,0.045989305,1,11,0.0,5431,101,4,0.01980198,0.106164384,1.0,training,519,2149,12,5,453,714,597.41,576.578769504,0.8442867732915966,0.8387300892468948
8198,11,0.497692,3.686567164,0.519230769,0.403846154,0.365384615,0.0,0.480106101,0.0,0.021961933,0,0.228712429,0.017725258,0,7,0.0,14364,104,4,0.423076923,0.109004739,1.0,training,408,3205,12,4,518,833,1005.48,1565.7440709960001,0.5771564475556816,0.8447334151903693
5039,2,0.884415,1.4476744190000002,0.7860962570000001,0.10695187199999999,0.032085561,0.005347594000000001,0.490751227,0.0,0.060371517,0,0.23853169899999999,0.03030303,1,28,0.0,2853,187,8,0.058823529000000006,0.115618661,1.0,training,0,2732,12,5,453,714,798.84,329.860039833,0.8596637505099167,0.5348272321212596
8513,2,0.707823,2.776978417,0.446666667,0.32,0.18666666699999998,0.173333333,0.468774094,0.0,0.038523273999999996,0,0.248972737,0.140625,1,22,0.0,6560,150,5,0.033333333,0.08275862099999999,1.0,training,55,441,12,6,1009,1564,1443.2,542.89655376,0.8536047232256732,0.5138853177460048
8073,0,0.6008133639871819,2.230769231,0.658536585,0.31707317100000004,0.243902439,0.17073170699999998,21.0,-1.0,0.022304833,0,0.23414834399999998,-1.0,0,28,1.0,1000,41,0,0.780487805,0.090909091,1.0,training,519,3718,12,1,0,0,280.0,90.909091,0.14804719803168948,0.5348272321212596
6886,6,0.633821,2.6637168140000003,0.421875,0.1796875,0.109375,0.0859375,0.6006944439999999,0.0,0.073883162,0,0.211271867,0.215277778,1,34,0.0,2919,128,9,0.609375,0.102564103,0.0,training,519,3714,12,2,647,1329,992.46,299.38461665700004,0.846980344916167,0.44575884702110696
10159,0,0.6008133639871819,2.5319148940000002,0.6122448979999999,0.28571428600000004,0.18367346899999998,0.06122449,0.621908127,0.013513513999999999,0.016528926,0,0.294793449,0.121621622,1,14,1.0,3871,49,0,0.040816327,0.117647059,1.0,training,519,3218,42,1,0,0,541.94,455.411765389,0.8346637429538541,0.5816791608108998
6514,0,0.6008133639871819,1.268041237,0.33613445399999997,0.06302521,0.016806723,0.012605042,0.471284372,0.0,0.034980989,0,0.175704022,0.17794971,1,11,0.0,9499,238,5,0.39915966399999997,0.06786427099999999,1.0,training,519,2399,12,2,821,0,1044.89,644.6427102289999,0.8660721116759263,0.8387300892468948
4265,3,0.572142,0.934065934,0.304347826,0.10869565199999999,0.010869565,0.0,0.7251461990000001,0.0,0.076923077,0,0.169670508,2.16,1,57,0.0,343,92,3,0.02173913,0.088235294,1.0,training,519,3930,12,5,453,714,195.51,30.264705842,0.8429045311145473,0.16319908039082764
7021,2,0.576678,1.268115942,0.436619718,0.15492957699999998,0.12676056300000002,0.112676056,0.33490788899999996,0.0,0.036297641,0,0.223623753,0.065454545,0,9,0.0,7989,142,4,0.056338028,0.043636364000000004,1.0,training,519,3632,12,4,453,714,719.01,348.610911996,0.8497393419435024,0.5734296567326268
8949,11,0.810992,2.96039604,0.58490566,0.377358491,0.09433962300000001,0.047169811,0.7960199,0.0,0.036199095,0,0.257144005,0.6756756759999999,1,59,0.0,1064,106,2,0.179245283,0.03030303,0.0,training,519,3222,12,3,845,1737,627.76,32.24242392,0.54823660816288,0.4255574831883411
7846,3,0.368871,4.066666667,0.408759124,0.02189781,0.02189781,0.0,0.636363636,0.0,0.00754717,0,0.16640328699999998,0.9859154929999999,0,37,0.0,1177,137,3,0.751824818,0.094594595,0.0,training,519,2494,42,2,2056,0,435.49,111.337838315,0.8455347349164652,0.40960672324473796
7275,8,0.8882329999999999,0.530864198,0.14084507,0.08450704199999999,0.0,0.0,0.48884381299999996,0.0,0.029622062999999997,0,0.192870423,0.384180791,0,14,0.0,2650,213,5,0.422535211,0.083333333,0.0,training,519,3917,12,2,2138,2007,371.0,220.83333245,0.8748396004250029,0.5816791608108998
1675,8,0.31308400000000003,1.633663366,0.417475728,0.17475728199999999,0.155339806,0.067961165,0.399350029,0.0,0.044742729,0,0.24899914399999998,0.020742358,0,13,0.0,5190,103,1,0.13592233,0.081585082,1.0,training,0,1160,12,4,453,714,674.7,423.42657558,0.8411308951190849,0.837479672924746
